Summary,Description,Priority,Status,Reporter,Assignee,Request type,Issue Type,Categoría,Date Created,Comment,Comment,Comment,Comment,Comment,Comment
endereço de deposito de bitcoin mudou?,"gerei um endereço pra depositar BTC semana passada e hoje quando fui olhar de novo apareceu um endereço diferente, isso é normal?",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maximilianojavierjulio@gmail.com,Tokenia Web,Service Request,Carteira e endereços,31/May/26 10:48 PM,"1/Jun/26 4:52 AM;maximilianojavierjulio@gmail.com;Olá! Sim, isso é normal. Nossa plataforma gera um novo endereço a cada certo tempo por questões de segurança e organização interna, mas o endereço anterior continua válido e qualquer depósito feito nele também será creditado corretamente.","1/Jun/26 5:11 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;ah que bom, fiquei com medo de ter perdido o dinheiro","1/Jun/26 6:24 AM;maximilianojavierjulio@gmail.com;Fique tranquilo, nenhum valor se perde. Se quiser, pode continuar usando o endereço mais recente para os próximos depósitos.","1/Jun/26 7:03 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;combinado, obrigado pela explicação",,
coloquei endereço errado pra sacar USDT,"fiz um saque de USDT pra um endereço que eu digitei errado, um caractere a menos, e o valor sumiu da minha carteira",High,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:cf6bd68c-2cf4-4fa6-93ba-fc96a0e57143,maxyjulio18@gmail.com,Tokenia Email,General request,Carteira e endereços,5/Jan/26 9:13 AM,"5/Jan/26 10:38 AM;maxyjulio18@gmail.com;Olá, entendo a preocupação. Infelizmente, transações na blockchain enviadas para um endereço inválido ou incorreto geralmente não podem ser revertidas, já que a rede não reconhece o endereço como um destino válido. Pode me confirmar se a transação chegou a ser confirmada na blockchain ou se ficou com erro?","5/Jan/26 10:56 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:cf6bd68c-2cf4-4fa6-93ba-fc96a0e57143;olhei no explorador e diz que a transação falhou, não foi confirmada","5/Jan/26 12:21 PM;maxyjulio18@gmail.com;Nesse caso é uma boa notícia: como a transação falhou por completo, o saldo não foi transferido e deve retornar automaticamente para sua carteira em até algumas horas. Vamos acompanhar e te avisamos se precisar de algo mais.","5/Jan/26 1:04 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:cf6bd68c-2cf4-4fa6-93ba-fc96a0e57143;que alívio, muito obrigado pela ajuda",,
quais moedas a Tokenia oferece,"sou novo por aqui, queria saber quais criptomoedas dá pra comprar e vender na plataforma",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:c76e25ce-1103-4288-a853-a756f7dcaabf,maximilianojavierjulio@gmail.com,Tokenia App,Service Request,Informações e dúvidas gerais,24/Oct/24 10:15 AM,"24/Oct/24 3:17 PM;maximilianojavierjulio@gmail.com;Olá, seja bem-vindo à Tokenia! Atualmente oferecemos Bitcoin, Ethereum, Solana, USDT, USDC e outras criptomoedas populares, com novidades sendo adicionadas periodicamente. Você pode ver a lista completa na seção 'Mercados' do app.","24/Oct/24 3:36 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:c76e25ce-1103-4288-a853-a756f7dcaabf;legal, e tem algum valor minimo pra comecar a operar?","24/Oct/24 4:27 PM;maximilianojavierjulio@gmail.com;O valor mínimo é bem acessível, a partir de R$10 já é possível fazer sua primeira operação.","24/Oct/24 5:11 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:c76e25ce-1103-4288-a853-a756f7dcaabf;otimo, vou comecar por ai. obrigado!",,
como funciona o programa de indicação,"vi que tem um programa de indicar amigos, queria entender como funciona antes de compartilhar meu link",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1c6c8f3c-0b42-4193-b8f6-814150c2f7da,maxyjulio18@gmail.com,Portal Tokenia,Service Request,Informações e dúvidas gerais,12/Jul/24 1:23 AM,"12/Jul/24 5:34 AM;maxyjulio18@gmail.com;Olá! O programa funciona assim: você compartilha seu código pessoal, disponível na seção 'Indique e Ganhe'. Quando um amigo se cadastra com esse código e realiza a primeira operação, vocês dois recebem um bônus em USDT direto na carteira.",12/Jul/24 7:03 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1c6c8f3c-0b42-4193-b8f6-814150c2f7da;tem limite de quantas pessoas posso indicar?,"12/Jul/24 8:08 AM;maxyjulio18@gmail.com;Não há limite de indicações, você pode convidar quantos amigos quiser.","12/Jul/24 9:23 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1c6c8f3c-0b42-4193-b8f6-814150c2f7da;perfeito, vou compartilhar agora mesmo. obrigada",,
quanto cobram de taxa pra comprar cripto,"queria saber exatamente quanto é cobrado de taxa quando compro cripto com reais, vi algo de 1% mas não sei se tem taxa adicional",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:b9908a88-c7cb-48d9-b10c-f21b473a87ee,maximilianojavierjulio@gmail.com,Tokenia Web,Service Request,Tarifas e comissões,24/Jan/25 12:24 AM,"24/Jan/25 11:08 AM;maximilianojavierjulio@gmail.com;Olá! A taxa padrão para compra de criptomoedas com reais é de 1% sobre o valor da operação, já incluído no preço exibido antes de confirmar. Não há taxas ocultas adicionais.",24/Jan/25 11:52 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:b9908a88-c7cb-48d9-b10c-f21b473a87ee;e pra sacar cripto pra outra carteira tem taxa tambem?,"24/Jan/25 12:48 PM;maximilianojavierjulio@gmail.com;Sim, existe uma taxa de rede que varia conforme a criptomoeda e a congestão da blockchain no momento, que é exibida antes de você confirmar o saque.","24/Jan/25 2:18 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:b9908a88-c7cb-48d9-b10c-f21b473a87ee;entendi, obrigado pela explicação clara",,
cobraram mais do que eu esperava numa compra,"comprei R$1000 em ETH e o total debitado foi R$1015, achei estranho porque pensei que a taxa era de 1%",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a99a275-7ced-4af7-bae8-9d134b24be3e,maxi220julio@gmail.com,Tokenia Web,Service Request,Tarifas e comissões,4/Sep/24 11:21 PM,"5/Sep/24 1:41 AM;maxi220julio@gmail.com;Olá! Verificamos sua operação e o valor está correto. Além da taxa de 1%, o preço final também inclui o spread do mercado no momento da execução, que é a pequena diferença entre o preço de compra e venda naquele instante.","5/Sep/24 1:46 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a99a275-7ced-4af7-bae8-9d134b24be3e;ah nao sabia que existia esse spread, pensei que era só a taxa","5/Sep/24 2:00 AM;maxi220julio@gmail.com;Sem problemas! É comum essa dúvida. O spread costuma variar bem pouco, mas influencia o valor final junto com a taxa fixa.","5/Sep/24 3:25 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a99a275-7ced-4af7-bae8-9d134b24be3e;entendi agora, obrigado pela paciência",,
app fecha sozinho quando abro o grafico,"toda vez que tento abrir o grafico de precos do bitcoin no app ele fecha sozinho, ja tentei abrir e fechar varias vezes",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67,maxyjulio18@gmail.com,Portal Tokenia,Service Request,Problemas técnicos do app/site,27/Jul/25 7:16 AM,28/Jul/25 5:30 AM;maxyjulio18@gmail.com;Olá! Sentimos pelo transtorno. Você pode me informar qual o modelo do seu celular e a versão do app instalada? Isso costuma ajudar a identificar o problema.,"28/Jul/25 6:10 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67;é um moto g23, e o app ta na versao mais recente que tinha na play store","28/Jul/25 7:40 AM;maxyjulio18@gmail.com;Obrigado pela informação. Já identificamos instabilidade nessa versão para alguns modelos, e nosso time técnico já está trabalhando na correção. Como alternativa, você pode acompanhar os gráficos pela versão web enquanto isso.","28/Jul/25 8:47 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67;consegui abrir pelo site, obrigado pela dica",,
site fica travando na hora de confirmar operação,"toda vez que tento confirmar uma compra pelo site, a pagina trava e fica carregando pra sempre, ja tentei em dois navegadores diferentes",High,Work in Progress,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f,maxyjulio18@gmail.com,Tokenia Web,Service Request,Problemas técnicos do app/site,13/Mar/25 11:35 AM,"13/Mar/25 12:46 PM;maxyjulio18@gmail.com;Olá, obrigado por reportar. Já estamos com outros relatos parecidos e nosso time técnico está investigando a causa. Enquanto isso, você conseguiria tentar realizar a operação pelo aplicativo mobile como alternativa?",13/Mar/25 1:03 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f;vou tentar pelo app agora e te aviso,,,,
qual o limite de saque diario,"queria saber qual é o limite diario de saque em reais da minha conta, pra planejar um saque maior",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:3b3304dc-2f4a-4a0c-94fd-cfc9d201d002,maxi220julio@gmail.com,Tokenia Web,Service Request,Limites e restrições,29/Nov/25 3:00 PM,"29/Nov/25 7:38 PM;maxi220julio@gmail.com;Olá! O limite diário de saque para contas verificadas é de R$50.000. Caso precise sacar um valor maior, é possível solicitar um aumento de limite mediante análise adicional de verificação.",29/Nov/25 9:05 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:3b3304dc-2f4a-4a0c-94fd-cfc9d201d002;e como faço pra solicitar esse aumento?,"29/Nov/25 9:22 PM;maxi220julio@gmail.com;Basta acessar a seção 'Limites' no seu perfil e clicar em 'Solicitar aumento', enviando a documentação complementar que for pedida.","29/Nov/25 9:34 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:3b3304dc-2f4a-4a0c-94fd-cfc9d201d002;perfeito, vou solicitar. obrigado",,
documento de verificação foi recusado,"enviei minha CNH pra verificação e recebi um email dizendo que foi recusada, mas não entendi o motivo",Medium,Waiting for Customer,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:dcd8d81d-4933-40c2-b3f2-7d9c8757ab99,maxi220julio@gmail.com,Portal Tokenia,Service Request,Verificação de identidade,22/Mar/25 6:34 AM,"22/Mar/25 8:40 AM;maxi220julio@gmail.com;Olá! Verificamos aqui e o motivo da recusa foi que a foto do documento estava com reflexo de luz, dificultando a leitura de alguns dados. Poderia reenviar uma nova foto em um ambiente bem iluminado e sem reflexos?","22/Mar/25 9:08 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:dcd8d81d-4933-40c2-b3f2-7d9c8757ab99;ah entendi, vou tirar outra foto com mais cuidado e reenviar",,,,
minha conta ficou limitada depois de um deposito grande,"fiz um deposito bem maior que o normal essa semana e agora minha conta esta com algumas funções restritas, nao consigo sacar",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:74b34d2b-8c7a-4390-a0d5-6fe51576bcc9,maxyjulio18@gmail.com,Portal Tokenia,Service Request,Limites e restrições,2/May/25 5:50 AM,"2/May/25 9:36 AM;maxyjulio18@gmail.com;Olá! Isso costuma acontecer como medida de segurança padrão quando identificamos uma movimentação fora do seu padrão habitual. Vamos revisar sua conta e, caso esteja tudo certo, a restrição é removida rapidamente.","2/May/25 10:56 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:74b34d2b-8c7a-4390-a0d5-6fe51576bcc9;entendi, é só um deposito normal mesmo, nada demais","2/May/25 11:55 AM;maxyjulio18@gmail.com;Perfeito, já concluímos a análise e não identificamos nenhuma irregularidade. A restrição foi removida e sua conta está com todas as funções liberadas novamente.","2/May/25 12:04 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:74b34d2b-8c7a-4390-a0d5-6fe51576bcc9;show, já consigo sacar de novo. obrigado",,
quero aumentar meu limite mensal de compra,"opero bastante na plataforma e o limite mensal de compra ta ficando curto pra mim, como faço pra aumentar?",High,Waiting for Agent,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c,maxyjulio18@gmail.com,Tokenia App,Service Request,Limites e restrições,25/Apr/26 1:00 AM,"25/Apr/26 1:58 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c;boa tarde, gostaria de saber como aumento meu limite mensal, ja bati o teto duas vezes esse mes",,,,,
existe limite pra saque de criptomoedas,"queria saber se tem algum limite diario ou mensal pra saque de cripto pra outras carteiras, ou só existe limite pra reais",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:3b3304dc-2f4a-4a0c-94fd-cfc9d201d002,maxyjulio18@gmail.com,Tokenia Web,Service Request,Limites e restrições,7/May/25 3:42 AM,"7/May/25 9:26 AM;maxyjulio18@gmail.com;Olá! Sim, também existe um limite diário para saques de criptomoedas, que varia conforme o ativo. Você pode consultar o valor específico na seção 'Limites' do seu perfil, junto com o limite em reais.","7/May/25 9:50 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:3b3304dc-2f4a-4a0c-94fd-cfc9d201d002;ah nao sabia, vou olhar la. obrigado pela informação",,,,
verificação de identidade demorando muito,"enviei meus documentos pra verificação faz 4 dias e ainda ta como 'em analise', achei que era mais rapido",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ebdc7d4f-7a89-4bb1-a131-b652ee3ba99b,maxi220julio@gmail.com,Portal Tokenia,Service Request,Verificação de identidade,23/Jul/24 1:48 AM,"23/Jul/24 3:20 AM;maxi220julio@gmail.com;Olá! Peço desculpas pela demora. O prazo padrão é de até 48 horas úteis, mas em períodos de maior volume pode se estender um pouco. Verifiquei aqui e seu caso já está na fila final de análise.","23/Jul/24 3:58 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ebdc7d4f-7a89-4bb1-a131-b652ee3ba99b;ah que bom, achei que tinha dado algum problema com meus documentos","23/Jul/24 4:08 AM;maxi220julio@gmail.com;Não há nenhum problema identificado até o momento, é só uma questão de fila mesmo. Você deve receber a confirmação em breve por e-mail.","23/Jul/24 5:11 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ebdc7d4f-7a89-4bb1-a131-b652ee3ba99b;beleza, vou aguardar entao. obrigado",,
meu CPF já está em uso em outra conta,"tentei fazer a verificação e apareceu uma mensagem dizendo que meu CPF já está cadastrado em outra conta, mas essa é a unica conta que eu tenho aqui",High,Escalated,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7,maxi220julio@gmail.com,Portal Tokenia,Service Request,Verificação de identidade,6/Jul/26 1:33 PM,"6/Jul/26 4:26 PM;maxi220julio@gmail.com;Olá, entendo a situação e peço desculpas pelo transtorno. Esse tipo de caso precisa de uma análise mais detalhada do nosso time de compliance para identificar o que ocorreu. Vou escalar seu atendimento agora.","6/Jul/26 5:17 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7;por favor, preciso urgente verificar minha conta pra poder sacar","6/Jul/26 6:35 PM;maxi220julio@gmail.com;Compreendo a urgência. Já marquei seu caso como prioritário. Nosso time especializado vai entrar em contato assim que tiver uma resposta, geralmente em até 24 horas úteis para esse tipo de situação.",,,
